Name,Mw,Omega,Tc,Pc,Vc,Zc,Tm,Tb,Ttr,Ptr,Vliq,SolPar,,,,,,,,,,,,,,,,,
3-METHYLHEPTANE,"114,231","0,3718","563,67","25,127","0,464","0,252","152,6","392,08","152,6","5,16E-10","1,63E-01","15,1853",,,,,,,,,,,,,,,,,
4-METHYLHEPTANE,"114,231","0,3706","561,74","25,088","0,476","0,259","152,2","390,86","152,2","4,51E-10","1,63E-01","15,1437",,,,,,,,,,,,,,,,,
2-METHYLOCTANE,"128,258","0,4212","586,75","22,601","0,541","0,254","192,78","416,43","192,78","1,90E-07","1,81E-01","15,3233",,,,,,,,,,,,,,,,,
3-METHYLOCTANE,"128,258","0,4123","590,15","23,094","0,529","0,252","165,55","417,38","165,55","8,87E-10","1,79E-01","15,3851",,,,,,,,,,,,,,,,,
4-METHYLOCTANE,"128,258","0,4129","587,65","23,094","0,523","0,25","159,95","415,59","159,95","3,14E-10","1,79E-01","15,2967",,,,,,,,,,,,,,,,,
2-METHYLNONANE,"142,285","0,4723",610,"20,923","0,583","0,244","198,5","440,15","198,5","2,45E-08","1,97E-01","15,382",,,,,,,,,,,,,,,,,
3-METHYLNONANE,"142,285","0,4649",613,"21,318","0,583","0,247","188,35","440,95","188,35","5,58E-09","1,95E-01","15,4735",,,,,,,,,,,,,,,,,
4-METHYLNONANE,"142,285","0,4651",610,"21,318","0,583","0,248","174,45","438,85","174,45","1,07E-09","1,95E-01","15,4953",,,,,,,,,,,,,,,,,
5-METHYLNONANE,"142,285","0,4562",610,"21,318","0,583","0,248","185,45","438,3","185,45","4,33E-09","1,95E-01","15,4369",,,,,,,,,,,,,,,,,
NEOPENTANE,"72,15","0,1964","433,78","31,572","0,3036","0,269","256,6","282,65","256,6","3,53E-01","1,20E-01","13,0526",,,,,,,,,,,,,,,,,
"2,2-DIMETHYLBUTANE","86,177","0,235","488,78","30,407","0,359","0,272","174,28","322,88","174,28","3,87E-05","1,34E-01","13,7662",,,,,,,,,,,,,,,,,
"2,3-DIMETHYLBUTANE","86,177","0,2461","499,98","30,861","0,3578","0,269","145,19","331,13","145,19","1,49E-07","1,31E-01","14,2998",,,,,,,,,,,,,,,,,
"2,2-DIMETHYLPENTANE","100,204","0,2879","520,5","27,37","0,416","0,267","149,34","352,34","149,34","4,64E-08","1,49E-01","14,2028",,,,,,,,,,,,,,,,,
"2,3-DIMETHYLPENTANE","100,204","0,2957","537,35","28,7","0,393","0,256",0,"362,931",0,"0,00E+00","1,45E-01","14,8242",,,,,,,,,,,,,,,,,
"2,4-DIMETHYLPENTANE","100,204","0,3014","519,79","27,012","0,418","0,265","153,912","353,644","153,912","6,63E-08","1,50E-01","14,2925",,,,,,,,,,,,,,,,,
"3,3-DIMETHYLPENTANE","100,204","0,2672","536,4","29,07","0,414","0,273","138,7","359,21","138,7","2,27E-09","1,46E-01","14,5325",,,,,,,,,,,,,,,,,
"2,2-DIMETHYLHEXANE","114,231","0,3378","549,8","24,969","0,478","0,265","151,97","379,99","151,97","2,12E-09","1,65E-01","14,5783",,,,,,,,,,,,,,,,,
"2,3-DIMETHYLHEXANE","114,231","0,3472","563,4","25,956","0,4682","0,263",0,"388,76",0,"0,00E+00","1,61E-01","15,0154",,,,,,,,,,,,,,,,,
