Name,Mw,Omega,Tc,Pc,Vc,Zc,Tm,Tb,Ttr,Ptr,Vliq,SolPar,,,,,,,,,,,,,,,,,
trans-STILBENE,"180,249","0,4874",820,"27,042","0,607","0,244","397,35","579,65","397,35","2,31E-03","1,89E-01","18,6479",,,,,,,,,,,,,,,,,
"1,1-DIPHENYLETHANE","182,265","0,4566",775,"26,45","0,604","0,251","255,2","545,78","255,2","1,57E-07","1,83E-01","18,8726",,,,,,,,,,,,,,,,,
"1,2-DIPHENYLETHANE","182,265","0,4885",780,"26,153","0,616","0,252","324,34","553,65","324,34","8,64E-05","1,89E-01","18,3135",,,,,,,,,,,,,,,,,
m-TERPHENYL,"230,309","0,5588","924,85","34,641","0,768","0,351",360,650,360,"9,98E-06","2,21E-01","19,1484",,,,,,,,,,,,,,,,,
o-TERPHENYL,"230,309","0,4817","890,95","38,49","0,753","0,396","329,35","610,65","329,35","4,88E-06","2,19E-01","18,449",,,,,,,,,,,,,,,,,
p-TERPHENYL,"230,309","0,524","925,95","32,766","0,763","0,329",485,"649,15",485,"1,18E-02","2,39E-01","17,2339",,,,,,,,,,,,,,,,,
"2,4-DIPHENYL-4-METHYLPENTENE-1","236,357","0,5467",835,"19,738","0,839","0,242",0,614,0,"0,00E+00","2,40E-01","17,8967",,,,,,,,,,,,,,,,,
"2,3-DIMETHYL-2,3-DIPHENYLBUTANE","238,373","0,5208",805,"19,64","0,781","0,232","392,15",589,"392,15","1,58E-03","2,33E-01","16,6517",,,,,,,,,,,,,,,,,
TRIPHENYLMETHANE,"244,336","0,5735",865,"21,712","0,753","0,23","365,3","632,15","365,3","3,65E-05","2,40E-01","17,9945",,,,,,,,,,,,,,,,,
TRIPHENYLETHYLENE,"256,347","0,5998",908,"20,725","0,86","0,239","342,15",669,"342,15","1,09E-06","2,46E-01","18,6152",,,,,,,,,,,,,,,,,
"1,1,2-TRIPHENYLETHANE","258,363","0,6116",840,"20,133","0,808","0,236","327,75",622,"327,75","2,30E-06","2,31E-01","18,6433",,,,,,,,,,,,,,,,,
TETRAPHENYLMETHANE,"320,434","0,6794",983,"17,666","0,966","0,212","561,15",743,"561,15","1,34E-02","2,86E-01","17,0606",,,,,,,,,,,,,,,,,
TETRAPHENYLETHYLENE,"332,445","0,7285",996,"16,876","1,02","0,211","496,15",760,"496,15","5,52E-04","2,82E-01","18,1796",,,,,,,,,,,,,,,,,
"1,1,2,2-TETRAPHENYLETHANE","334,461","0,7322",827,"16,482","1,022","0,248","485,15","633,15","485,15","1,65E-02","3,46E-01","14,4288",,,,,,,,,,,,,,,,,
d-LIMONENE,"136,237","0,3123",660,"27,14","0,524","0,263",199,"449,65",199,"1,42E-07","1,62E-01","16,7642",,,,,,,,,,,,,,,,,
alpha-PHELLANDRENE,"136,237","0,3805",649,"27,831","0,5","0,261",0,"448,15",0,"0,00E+00","1,62E-01","16,9923",,,,,,,,,,,,,,,,,
beta-PHELLANDRENE,"136,237","0,3742",648,"27,831","0,487","0,255",0,"447,15",0,"0,00E+00","1,63E-01","16,9488",,,,,,,,,,,,,,,,,
alpha-TERPINENE,"136,237","0,3755",652,"27,634","0,506","0,261",0,"450,35",0,"0,00E+00","1,64E-01","16,8651",,,,,,,,,,,,,,,,,
gamma-TERPINENE,"136,237","0,375",661,"27,634","0,505","0,257",0,"456,15",0,"0,00E+00","1,61E-01","17,253",,,,,,,,,,,,,,,,,
TERPINOLENE,"136,237","0,3006",672,"27,338","0,509","0,252",0,"458,15",0,"0,00E+00","1,59E-01","18,0512",,,,,,,,,,,,,,,,,
2-NORBORNENE,"94,156","0,159",583,"38,786","0,337","0,273","319,4","368,65","319,4","1,98E-01","1,20E-01","15,84",,,,,,,,,,,,,,,,,
INDENE,"116,163","0,3338",687,"37,7","0,368","0,246","271,7","455,77","271,7","1,68E-04","1,17E-01","20,3115",,,,,,,,,,,,,,,,,
INDANE,"118,178","0,3091","684,9","38,983","0,381","0,264","221,74","451,12","221,74","1,57E-06","1,23E-01","19,4056",,,,,,,,,,,,,,,,,
1-METHYLINDENE,"130,189","0,3357",703,"34,148","0,44","0,26",0,"471,65",0,"0,00E+00","1,34E-01","18,3124",,,,,,,,,,,,,,,,,
2-METHYLINDENE,"130,189","0,3277",684,"34,148","0,429","0,261","353,15",458,"353,15","2,98E-02","1,34E-01","17,7903",,,,,,,,,,,,,,,,,
ADAMANTANE,"136,237","0,1815",742,"28,818","0,485","0,23","541,15",486,"541,15","2,74E+00","1,77E-01","13,1234",,,,,,,,,,,,,,,,,
CAMPHENE,"136,237","0,2957",638,"27,14","0,499","0,259","320,15","433,65","320,15","1,83E-02","1,61E-01","15,8394",,,,,,,,,,,,,,,,,
alpha-PINENE,"136,237","0,2862",632,"27,239","0,504","0,265","209,15","429,293","209,15","3,24E-06","1,59E-01","16,032",,,,,,,,,,,,,,,,,
beta-PINENE,"136,237","0,3252",643,"27,239","0,506","0,261","211,61","439,191","211,61","8,96E-07","1,57E-01","16,7839",,,,,,,,,,,,,,,,,
"1,2,3-TRIMETHYLINDENE","158,243","0,4406",726,"27,338","0,529","0,243","344,65",509,"344,65","3,23E-03","1,63E-01","17,6436",,,,,,,,,,,,,,,,,
1-PHENYLINDENE,"192,26","0,469",865,"27,239","0,627","0,241",0,610,0,"0,00E+00","1,78E-01","20,3482",,,,,,,,,,,,,,,,,
AIR,"28,951",0,"132,45","37,246","0,0915","0,313","59,15","78,67","59,15","5,57E-02","3,29E-02","12,75",,,,,,,,,,,,,,,,,
ARSINE,"77,945","0,0058",373,"64,643","0,0978","0,207","156,28","210,67","156,23","2,95E-02","4,81E-02","17,5",,,,,,,,,,,,,,,,,
DIBORANE,"27,67","0,1254","289,8",40,"0,1731","0,2912","107,65","180,65","107,65","7,55E-04","6,45E-02","14,08",,,,,,,,,,,,,,,,,
CARBON,MONOXIDE,"28,01","0,0482","132,92","34,532","0,0944","0,299","68,15","81,7","68,15","1,52E-01","0,1121","6,4024",,,,,,,,,,,,,,,,
CARBON,DIOXIDE,"44,01","0,2236","304,21","72,865","0,094","0,274","216,58",0,"216,58","5,12E+00",0,"14,5638",,,,,,,,,,,,,,,,
PERCHLORYL,FLUORIDE,"102,449","0,1726","368,4","52,998","0,161","0,282","125,41","226,49","125,41","7,04E-05","0,023","16,981",,,,,,,,,,,,,,,,
NITROSYL,CHLORIDE,"65,459","0,3074","440,65",90,"0,1393","0,347","213,55","267,77","213,55","5,34E-02","1,8998","21,7938",,,,,,,,,,,,,,,,
CHLORINE,DIOXIDE,"67,451","0,3564",465,85,0,0,"213,55","284,05","213,55","1,24E-02","1,7836","23,936",,,,,,,,,,,,,,,,
NITROGEN,TRIFLUORIDE,"71,002","0,1255","233,85","44,707","0,1187","0,277","66,36","144,09","66,36","2,60E-06","0,235","14,996",,,,,,,,,,,,,,,,
TETRAFLUOROHYDRAZINE,"104,007","0,2233","309,35","36,615","0,213","0,307","111,65","198,95","111,65","5,90E-04","7,41E-02","13,3096",,,,,,,,,,,,,,,,,
HYDROGEN,SULFIDE,"34,082","0,0942","373,53","88,457","0,0985","0,284","187,68","212,8","187,68","2,29E-01","0,9682","18,0002",,,,,,,,,,,,,,,,
HYDROGEN,SELENIDE,"80,976","0,0542","411,15","88,034","0,12","0,313","207,45","231,15","207,45","2,70E-01","0,2398","21,1165",,,,,,,,,,,,,,,,
PHOSPHINE,"33,998","0,0357","324,75","64,5","0,1133","0,274","139,37","185,415","139,37","3,57E-02","4,57E-02","16,5168",,,,,,,,,,,,,,,,,
HYDRAZINE,"32,045","0,3143","653,15","145,078","0,158","0,428","274,69","386,65","274,69","4,03E-03","3,19E-02","36,2248",,,,,,,,,,,,,,,,,
NITRIC,OXIDE,"30,006","0,5829","180,15","63,953","0,058","0,251","112,15","121,379","109,5","2,16E-01","0,1529","23,1176",,,,,,,,,,,,,,,,
NITROGEN,DIOXIDE,"46,005","0,8511","431,15",100,"0,0825","0,233","261,9","294,15","261,9","1,85E-01","0,3147","33,4948",,,,,,,,,,,,,,,,
NITROUS,OXIDE,"44,013","0,1409","309,57","71,503","0,0974","0,274","182,33","184,67","182,3","8,67E-01","0,167","20,308",,,,,,,,,,,,,,,,
NITROGEN,TRIOXIDE,"76,012","0,4312",425,"68,986","0,195","0,386",170,"275,15",170,"1,50E-04","2,1217","32,8051",,,,,,,,,,,,,,,,
NITROGEN,TETROXIDE,"92,011","1,0074","431,15",100,"0,0825","0,233","261,9","302,22","261,9","1,52E-01",0,0,,,,,,,,,,,,,,,,
NITROGEN,PENTOXIDE,"108,01",0,0,0,0,0,0,0,0,"0,00E+00","1,3999",0,,,,,,,,,,,,,,,,
SULFUR,DIOXIDE,"64,065","0,2454","430,75","77,81","0,122","0,269",200,"263,13","197,67","1,65E-02","1,6307","12,2729",,,,,,,,,,,,,,,,
OZONE,"47,998","0,2119",261,"54,972","0,089","0,228","80,15","161,85","80,15","7,25E-06","3,56E-02","18,745",,,,,,,,,,,,,,,,,
SULFUR,TRIOXIDE,"80,064","0,424","490,85","81,026","0,127","0,255","289,95","317,9","289,95","2,09E-01",0,"31,13",,,,,,,,,,,,,,,,
FORMALDEHYDE,"30,026","0,2818",408,"65,038","0,115","0,223","181,15","254,05","181,15","8,75E-03","3,69E-02","23,8248",,,,,,,,,,,,,,,,,
GLYOXAL,"58,037","0,4133",495,"58,031","0,164","0,234","288,15","323,55","288,15","2,05E-01","5,14E-02","24,8994",,,,,,,,,,,,,,,,,
ACETALDEHYDE,"44,053","0,2907",466,"54,774","0,154","0,221","150,15",294,"150,15","3,19E-06","5,65E-02","19,9094",,,,,,,,,,,,,,,,,
ACROLEIN,"56,064","0,3198",506,"49,346","0,197","0,234","185,45","325,84","185,45","1,02E-04","6,72E-02","20,1788",,,,,,,,,,,,,,,,,
1-PROPANAL,"58,08","0,2559","504,4","48,557","0,204","0,239",170,"321,15",170,"1,30E-05","7,34E-02","19,3166",,,,,,,,,,,,,,,,,
trans-CROTONALDEHYDE,"70,091","0,3382",569,"41,944","0,25","0,225","196,65","375,37","196,65","7,23E-06","8,27E-02","21,0078",,,,,,,,,,,,,,,,,
METHACROLEIN,"70,091","0,2456",530,"41,944","0,255","0,246","192,15","341,15","192,15","9,03E-05","8,42E-02","18,7344",,,,,,,,,,,,,,,,,
1-BUTANAL,"72,107","0,2774","537,2","42,635","0,258","0,25","176,75","347,95","176,75","3,13E-06","9,04E-02","18,6632",,,,,,,,,,,,,,,,,
2-METHYLPROPANAL,"72,107","0,3622",507,"40,464","0,263","0,256","208,15","337,25","208,15","3,44E-04","9,20E-02","18,4465",,,,,,,,,,,,,,,,,
1-PENTANAL,"86,134","0,3472","566,1","39,181","0,313","0,264",182,"376,15",182,"5,16E-07","1,07E-01","18,4402",,,,,,,,,,,,,,,,,
1-HEXANAL,"100,161","0,3872",591,"34,148","0,369","0,26","217,15","401,45","217,15","1,23E-05","1,24E-01","18,1497",,,,,,,,,,,,,,,,,
BENZALDEHYDE,"106,124","0,3127",695,"45,892","0,324","0,261","216,02","451,9","216,02","4,78E-07","1,02E-01","21,5978",,,,,,,,,,,,,,,,,
1-HEPTANAL,"114,188","0,4268",617,"31,384","0,421","0,261","229,8","425,95","229,8","1,10E-05","1,40E-01","17,9533",,,,,,,,,,,,,,,,,
2-METHYLHEXANAL,"114,188","0,4609",592,"28,127","0,439","0,254",230,"415,15",230,"2,11E-05","1,43E-01","17,5512",,,,,,,,,,,,,,,,,
3-METHYLHEXANAL,"114,188","0,457",595,"28,127","0,421","0,243",230,"417,46",230,"3,77E-05","1,40E-01","17,2812",,,,,,,,,,,,,,,,,
TEREPHTHALDEHYDE,"134,134","0,5832",739,"36,22","0,383","0,229","389,15","519,65","389,15","9,78E-03","1,17E-01","22,7272",,,,,,,,,,,,,,,,,
p-TOLUALDEHYDE,"120,151","0,4422",698,"36,22","0,416","0,263",0,"477,15",0,"0,00E+00","1,19E-01","21,3537",,,,,,,,,,,,,,,,,
2-ETHYLHEXANAL,"128,214","0,5195",607,"25,463","0,491","0,251",0,"433,8",0,"0,00E+00","1,57E-01","17,561",,,,,,,,,,,,,,,,,
1-OCTANAL,"128,214","0,4729","638,1","29,213","0,474","0,264",246,"447,15",246,"4,11E-06","1,57E-01","17,9154",,,,,,,,,,,,,,,,,
1-NONANAL,"142,241","0,5117",658,"26,943","0,527","0,263","255,15","468,15","255,15","3,37E-06","1,73E-01","17,7632",,,,,,,,,,,,,,,,,
1-DECANAL,"156,268","0,582","674,2","25,66","0,58","0,269","267,15","488,15","267,15","4,80E-06","1,90E-01","17,7072",,,,,,,,,,,,,,,,,
1-UNDECANAL,"170,295","0,6205",692,"24,574","0,632","0,274","273,15","506,15","273,15","1,39E-06","2,07E-01","17,6416",,,,,,,,,,,,,,,,,
1-DODECANAL,"184,322","0,675",708,"23,785","0,685","0,28","285,15","523,15","285,15","3,99E-06","2,23E-01","17,6314",,,,,,,,,,,,,,,,,
1-TRIDECANAL,"198,349","0,7161",724,"23,193","0,738","0,288","288,15","540,15","288,15","1,24E-06","2,40E-01","17,5645",,,,,,,,,,,,,,,,,
KETENE,"42,037","0,1257",370,"57,34","0,144","0,272",122,"223,335",122,"7,10E-05","5,30E-02","18,0617",,,,,,,,,,,,,,,,,
ACETONE,"58,08","0,3065","508,2","46,395","0,209","0,233","178,45","329,44","178,45","2,75E-05","7,38E-02","19,7297",,,,,,,,,,,,,,,,,
DIKETENE,"84,075","0,3821",616,"58,821","0,234","0,272","266,65","399,2","266,65","1,80E-03","8,01E-02","22,5076",,,,,,,,,,,,,,,,,
METHYL,ETHYL,KETONE,"72,107","0,3234","535,5","40,957","0,267","0,249","186,48","352,79","186,48","3,135","2,7608","18,8787",,,,,,,,,,,,,,,
CYCLOPENTANONE,"84,118","0,2825","634,56","52,603","0,258","0,261","221,85","403,8","221,85","3,60E-05","8,91E-02","20,9754",,,,,,,,,,,,,,,,,
METHYL,ISOPROPENYL,KETONE,"84,118","0,2862",566,"38,391","0,302","0,25","219,55","371,15","219,55","3,48","2,7398","18,579",,,,,,,,,,,,,,,
ACETYLACETONE,"100,117","0,211","646,65","39,082","0,323","0,238","249,95","413,55","249,95","1,03E-03","1,03E-01","19,5267",,,,,,,,,,,,,,,,,
METHYL,ISOPROPYL,KETONE,"86,134","0,35",553,38,"0,31","0,26","181,15","367,55","181,15","3,465","2,7697","18,2533",,,,,,,,,,,,,,,
2-PENTANONE,"86,134","0,3433","561,08","36,457","0,301","0,238","196,29","375,46","196,29","7,43E-06","1,07E-01","18,2948",,,,,,,,,,,,,,,,,
3-PENTANONE,"86,134","0,3448","560,95","36,911","0,336","0,269","234,18","375,14","234,18","7,25E-04","1,06E-01","18,405",,,,,,,,,,,,,,,,,
QUINONE,"108,097","0,4945",683,"58,821","0,291","0,305","388,85",454,"388,85","1,15E-01","9,92E-02","21,6982",,,,,,,,,,,,,,,,,
CYCLOHEXANONE,"98,145","0,3064",653,"39,477","0,311","0,229",242,"428,9",242,"6,88E-05","1,04E-01","20,1394",,,,,,,,,,,,,,,,,
MESITYL,OXIDE,"98,145","0,3254",600,"33,654","0,355","0,243","220,15","402,95","220,15","2,48E-05","3,2074","18,6508",,,,,,,,,,,,,,,,
"3,3-DIMETHYL-2-BUTANONE","100,161","0,3298",564,"32,766","0,368","0,261","221,15","379,45","221,15","1,42E-04","1,25E-01","16,9229",,,,,,,,,,,,,,,,,
ETHYL,ISOPROPYL,KETONE,"100,161","0,3911",567,"32,766","0,369","0,26",0,"386,55",0,"3,892",0,"17,3251",,,,,,,,,,,,,,,
2-HEXANONE,"100,161","0,3967","587,05","32,8","0,369","0,251","217,35","400,85","217,35","1,49E-05","1,24E-01","18,1374",,,,,,,,,,,,,,,,,
3-HEXANONE,"100,161","0,3764","582,82","32,766","0,364","0,249","217,5","396,65","217,5","2,02E-05","1,24E-01","17,8979",,,,,,,,,,,,,,,,,
METHYL,ISOBUTYL,KETONE,"100,161","0,3892","571,4","32,272","0,369","0,254","189,15","389,65","189,15","3,828","2,6978","17,4328",,,,,,,,,,,,,,,
3-METHYL-2-PENTANONE,"100,161","0,3854",573,"32,766","0,369","0,257","167,15","390,55","167,15","3,22E-08","1,24E-01","17,3552",,,,,,,,,,,,,,,,,
DIISOPROPYL,KETONE,"114,188","0,4053",576,"29,805","0,416","0,262","204,81","397,55","204,81","3,85E-06","2,7308","17,8807",,,,,,,,,,,,,,,,
2-HEPTANONE,"114,188","0,4127","611,55","28,818","0,421","0,242","238,15","424,05","238,15","3,09E-05","1,41E-01","17,8842",,,,,,,,,,,,,,,,,
3-HEPTANONE,"114,188","0,4749",600,"28,818","0,421","0,246","234,15","421,15","234,15","1,93E-05","1,40E-01","18,1076",,,,,,,,,,,,,,,,,
4-HEPTANONE,"114,188","0,4661",595,"28,818","0,421","0,249","240,65","417,15","240,65","9,94E-05","1,40E-01","17,2289",,,,,,,,,,,,,,,,,
5-METHYL-2-HEXANONE,"114,188","0,4344",601,"29,312","0,421","0,25","199,25","417,95","199,25","2,39E-07","1,41E-01","17,7375",,,,,,,,,,,,,,,,,
ACETOPHENONE,"120,151","0,3643","709,5","37,898","0,386","0,251","292,805","475,15","292,805","3,54E-04","1,17E-01","20,9326",,,,,,,,,,,,,,,,,
2-OCTANONE,"128,214","0,5281",624,"26,055","0,469","0,239","252,85","445,75","252,85","7,40E-06","1,57E-01","17,8",,,,,,,,,,,,,,,,,
ISOPHORONE,"138,21","0,4002",715,"32,865","0,456","0,255","265,05","488,35","265,05","4,50E-05","1,50E-01","17,8571",,,,,,,,,,,,,,,,,
DIISOBUTYL,KETONE,"142,241","0,5116",615,"24,476","0,522","0,253","227,17","441,41","227,17","2,47E-06","2,6589","16,4537",,,,,,,,,,,,,,,,
2-NONANONE,"142,241","0,5733",643,"23,785","0,527","0,238","265,65","467,45","265,65","3,75E-05","1,74E-01","17,5862",,,,,,,,,,,,,,,,,
5-NONANONE,"142,241","0,5317",640,"23,785","0,527","0,239","268,35","461,6","268,35","6,09E-05","1,74E-01","17,3381",,,,,,,,,,,,,,,,,
CAMPHOR,"152,236","0,319",709,"29,509","0,505","0,256","453,25","480,57","453,25","5,07E-01","1,82E-01","14,7662",,,,,,,,,,,,,,,,,
2-CYCLOHEXYL,CYCLOHEXANONE,"180,29","0,5116",756,"27,042","0,595","0,259","241,15","537,15","241,15","1,98E-08","2,9197","18,7737",,,,,,,,,,,,,,,,
BENZOPHENONE,"182,222","0,545",816,"29,706","0,542","0,24","321,35","579,243","321,35","2,93E-05","1,68E-01","19,6622",,,,,,,,,,,,,,,,,
ANTHRAQUINONE,"208,216","0,6807",900,"31,088","0,58","0,244","559,15","653,05","559,15","1,27E-01","1,94E-01","17,779",,,,,,,,,,,,,,,,,
METHANOL,"32,042","0,564","512,64","79,911","0,118","0,224","175,47","337,85","175,47","1,10E-06","4,06E-02","29,5906",,,,,,,,,,,,,,,,,
ETHANOL,"46,069","0,6452","513,92","60,676","0,167","0,24","159,05","351,44","159,05","4,78E-09","5,86E-02","26,1333",,,,,,,,,,,,,,,,,
1-PROPANOL,"60,096","0,6218","536,78","51,073","0,219","0,254","146,95","370,35","146,95","3,04E-12","7,51E-02","24,4518",,,,,,,,,,,,,,,,,
1-BUTANOL,"74,123","0,5935","563,05","43,652","0,275","0,26","183,85","390,81","184,51","5,65E-09","9,20E-02","23,3536",,,,,,,,,,,,,,,,,
1-PENTANOL,"88,15","0,5938","586,15","38,293","0,326","0,26","195,56","410,95","195,56","3,14E-09","1,09E-01","22,576",,,,,,,,,,,,,,,,,
1-HEXANOL,"102,177","0,5791","611,35","34,641","0,381","0,263","228,55","430,55","228,55","3,69E-07","1,25E-01","21,6177",,,,,,,,,,,,,,,,,
1-HEPTANOL,"116,203","0,5874","631,9","31,088","0,435","0,261","239,15","449,45","239,15","1,68E-07","1,42E-01","21,3741",,,,,,,,,,,,,,,,,
1-OCTANOL,"130,23","0,5941","652,5","28,226","0,49","0,258","257,65","468,35","257,65","8,33E-07","1,58E-01","20,8684",,,,,,,,,,,,,,,,,
1-NONANOL,"144,257","0,6267","668,9","25,66","0,551","0,258","268,15","486,25","268,15","6,08E-07","1,75E-01","21,231",,,,,,,,,,,,,,,,,
1-DECANOL,"158,284","0,6612","684,4","23,39","0,6","0,25","280,05","504,07","280,05","1,18E-06","1,92E-01","20,5586",,,,,,,,,,,,,,,,,
1-UNDECANOL,"172,311","0,61",703,"21,189","0,661","0,243","289,05","518,15","289,05","1,31E-06","2,08E-01","20,6701",,,,,,,,,,,,,,,,,
1-DODECANOL,"186,338","0,6664","719,4","19,679","0,716","0,239","296,95","536,95","296,95","9,98E-07","2,24E-01","20,2766",,,,,,,,,,,,,,,,,
1-TRIDECANOL,"200,365","0,7124",734,"19,097","0,749","0,237","303,75","553,6","303,75","9,33E-07","2,42E-01","19,7598",,,,,,,,,,,,,,,,,
1-TETRADECANOL,"214,392","0,7432",747,"17,863","0,802","0,234","310,65","568,8","310,65","7,90E-07","2,60E-01","19,4313",,,,,,,,,,,,,,,,,
1-PENTADECANOL,"228,418","0,7797",759,"16,778","0,854","0,23","317,05","583,4","317,05","6,15E-07","2,77E-01","19,065",,,,,,,,,,,,,,,,,
1-HEXADECANOL,"242,445","0,8163",770,"15,889","0,907","0,228","322,35","597,23","322,35","4,39E-07","2,96E-01","18,8752",,,,,,,,,,,,,,,,,
1-HEPTADECANOL,"256,472","0,8492",780,"14,804","0,96","0,222","327,05","610,5","327,05","3,92E-07","3,13E-01","18,3454",,,,,,,,,,,,,,,,,
1-OCTADECANOL,"270,499","0,8886",790,"14,212","1,01","0,221","331,05",624,"331,05","2,44E-07","3,33E-01","18,2381",,,,,,,,,,,,,,,,,
1-NONADECANOL,"284,526","0,9082",799,"13,62","1,07","0,222","334,85","634,6","334,85","1,94E-07","3,49E-01","18,0361",,,,,,,,,,,,,,,,,
1-EICOSANOL,"298,553","0,9183",809,"12,83","1,12","0,216","338,55","645,5","338,55","1,03E-07","3,67E-01","18,0606",,,,,,,,,,,,,,,,,
PROPARGYL,ALCOHOL,"56,064","0,5546",580,"64,446","0,176","0,238","221,35","386,75","221,35","3,56E-05","1,7798","28,134",,,,,,,,,,,,,,,,
ALLYL,ALCOHOL,"58,08","0,5688","545,05","55,465","0,208","0,258","144,15","370,23","144,15","2,69E-11","1,5998","24,6613",,,,,,,,,,,,,,,,
ISOPROPANOL,"60,096","0,6677","508,3","46,997","0,22","0,248","185,28","355,41","185,28","3,61E-07","7,69E-02","23,4083",,,,,,,,,,,,,,,,,
2-BUTANOL,"74,123","0,5722","536,05","41,244","0,269","0,252","158,45","372,7","158,45","1,12E-11","9,20E-02","22,5414",,,,,,,,,,,,,,,,,
2-METHYL-1-PROPANOL,"74,123","0,5848","547,78","42,438","0,273","0,258","165,15","380,81","165,15","6,17E-12","9,29E-02","22,9094",,,,,,,,,,,,,,,,,
2-METHYL-2-PROPANOL,"74,123","0,6115","506,21","39,21","0,275","0,26","298,97","355,57","298,97","5,86E-02","9,47E-02","21,6034",,,,,,,,,,,,,,,,,
"2,2-DIMETHYL-1-PROPANOL","88,15","0,6036",550,"38,293","0,327","0,277","327,15","386,25","327,15","7,57E-02","1,21E-01","19,2654",,,,,,,,,,,,,,,,,
2-METHYL-1-BUTANOL,"88,15","0,6784",565,"38,293","0,327","0,27",0,"401,85",0,"0,00E+00","1,08E-01","22,1107",,,,,,,,,,,,,,,,,
2-METHYL-2-BUTANOL,"88,15","0,4795","543,7","36,615","0,327","0,268","264,35","375,15","264,35","1,59E-03","1,10E-01","20,8394",,,,,,,,,,,,,,,,,
3-METHYL-1-BUTANOL,"88,15","0,589","577,2","38,786","0,327","0,268","155,95","404,35","155,95","2,08E-13","1,09E-01","22,1574",,,,,,,,,,,,,,,,,
3-METHYL-2-BUTANOL,"88,15","0,351",574,"39,082","0,327","0,271",0,"384,65",0,"0,00E+00","1,08E-01","21,6069",,,,,,,,,,,,,,,,,
2-PENTANOL,"88,15","0,5625","560,4","36,615","0,327","0,26",200,"392,15",200,"5,95E-08","1,10E-01","21,704",,,,,,,,,,,,,,,,,
3-PENTANOL,"88,15","0,6748",547,"38,293","0,327","0,279","204,15","388,45","204,15","4,93E-07","1,08E-01","21,1227",,,,,,,,,,,,,,,,,
2-ETHYL-1-BUTANOL,"102,177","0,7136",580,"33,555","0,38","0,268","158,75","419,65","158,75","3,90E-17","1,23E-01","20,8962",,,,,,,,,,,,,,,,,
2-HEXANOL,"102,177","0,5655","586,2","33,555","0,38","0,265",223,"413,04",223,"9,37E-07","1,26E-01","21,1146",,,,,,,,,,,,,,,,,
2-METHYL-1-PENTANOL,"102,177","0,7262",582,"33,555","0,38","0,267",0,"421,15",0,"0,00E+00","1,24E-01","21,0518",,,,,,,,,,,,,,,,,
4-METHYL-2-PENTANOL,"102,177","0,573","574,4","34,246","0,38","0,276",0,"404,85",0,"0,00E+00","1,27E-01","19,294",,,,,,,,,,,,,,,,,
2-HEPTANOL,"116,203","0,7627",588,"29,904","0,432","0,268",243,"432,35",243,"7,78E-06","1,43E-01","20,6",,,,,,,,,,,,,,,,,
5-METHYL-1-HEXANOL,"116,203","0,7807",605,"29,904","0,432","0,26",0,"445,15",0,"0,00E+00","1,43E-01","20,448",,,,,,,,,,,,,,,,,
2-ETHYL-1-HEXANOL,"130,23","0,549","640,25","26,943","0,485","0,249","203,15","457,75","203,15","7,46E-12","1,57E-01","20,0383",,,,,,,,,,,,,,,,,
2-OCTANOL,"130,23","0,5056","637,15","26,943","0,469","0,242","241,55","452,95","241,55","3,20E-07","1,59E-01","20,1076",,,,,,,,,,,,,,,,,
"2,6-DIMETHYL-4-HEPTANOL","144,257","0,8022",603,"25,167","0,538","0,274",208,451,208,"2,61E-09","1,79E-01","17,8677",,,,,,,,,,,,,,,,,
2-NONANOL,"144,257","0,8904",623,"24,476","0,538","0,258","238,15","471,65","238,15","5,00E-08","1,76E-01","19,5728",,,,,,,,,,,,,,,,,
8-METHYL-1-NONANOL,"158,284","0,913",644,"22,502","0,591","0,252","213,15",493,"213,15","8,05E-11","1,89E-01","19,4598",,,,,,,,,,,,,,,,,
CYCLOHEXANOL,"100,161","0,3726",650,"42,043","0,322","0,254","296,6",434,"296,6","7,83E-04","1,06E-01","23,7433",,,,,,,,,,,,,,,,,
1-METHYLCYCLOHEXANOL,"114,188","0,6089",613,"39,477","0,374","0,294","299,15","430,15","299,15","1,84E-03","1,24E-01","20,6916",,,,,,,,,,,,,,,,,
cis-2-METHYLCYCLOHEXANOL,"114,188","0,6787",614,"37,404","0,414","0,307","280,15","438,15","280,15","5,00E-04","1,23E-01","21,353",,,,,,,,,,,,,,,,,
trans-2-METHYLCYCLOHEXANOL,"114,188","0,683",616,"37,404","0,414","0,306","269,15","439,65","269,15","1,57E-04","1,24E-01","21,4568",,,,,,,,,,,,,,,,,
cis-3-METHYLCYCLOHEXANOL,"114,188","0,7042",618,"37,404","0,414","0,305","267,65","441,15","267,65","4,35E-05","1,25E-01","21,6063",,,,,,,,,,,,,,,,,
trans-3-METHYLCYCLOHEXANOL,"114,188","0,6971",617,"37,404","0,414","0,306","272,65","441,15","272,65","7,80E-05","1,24E-01","21,5917",,,,,,,,,,,,,,,,,
cis-4-METHYLCYCLOHEXANOL,"114,188","0,6854",622,"37,404","0,414","0,303",0,"444,15",0,"0,00E+00","1,25E-01","22,0904",,,,,,,,,,,,,,,,,
trans-4-METHYLCYCLOHEXANOL,"114,188","0,6914",622,"37,404","0,414","0,303",0,"444,15",0,"0,00E+00","1,26E-01","21,8847",,,,,,,,,,,,,,,,,
L-MENTHOL,"156,268","0,7796",658,"26,746","0,533","0,264","315,65","489,55","315,65","5,26E-04","1,77E-01","17,8225",,,,,,,,,,,,,,,,,
