Group ID	Group contribution (×104)	Number of components	Mean absolute error (kPa)	Mean absolute error (%)	Standard deviation (kPa)	Group ID	Group contribution (×104)	Number of components	Mean absolute error (kPa)	Mean absolute error (%)	Standard deviation (kPa)
119	7.3149	4	162.3	7.5	204.2	127	0.7061	15	121.4	3.8	152.3
120	4.1439	2	25.5	0.9	25.5	128	−0.7246	8	112.8	3.4	123.8
121	0.4387	70	115.0	4.1	154.8	130	−8.8457	3	73.1	2.6	100.2
122	−4.2678	28	138.4	6.6	174.2	131	−2.2542	11	66.5	3.1	85.4
123	4.8944	51	102.2	4.0	132.5	132	−3.2460	5	55.6	2.0	58.5
124	2.8103	21	149.8	4.4	184.0	133	−5.3113	3	58.3	2.1	63.8
125	−0.3035	6	79.3	2.5	115.1	134	1.0934	7	58.9	2.7	76.4
126	0.0930	18	89.5	2.8	145.4	217	8.6126	10	58.2	1.7	76.6
