Group ID	Group contribution	Number of components	Mean absolute error (cm3/mol)	Mean absolute error (%)	Standard deviation (cm3/mol)	Group ID	Group contribution	Number of components	Mean absolute error (cm3/mol)	Mean absolute error (%)	Standard deviation (cm3/mol)
119	−3.8033	2	0.0	0.0	0.0	127	−3.5964	11	4.4	1.2	6.7
120	27.5326	1				128	1.5196	5	3.3	0.7	4.6
121	1.5807	50	6.3	2.2	9.8	130	−4.6483	2	0.0	0.0	0.0
122	−2.6235	16	9.1	2.1	11.1	131	−5.0563	10	9.5	2.1	12.6
123	−5.3091	42	6.9	1.9	9.1	132	−6.3267	5	12.9	2.8	15.7
124	−6.1909	18	7.3	3.2	11.9	133	4.9392	1			
125	3.2219	6	8.9	2.2	12.8	134	2.8889	4	0.0	0.0	0.0
126	−6.3900	11	4.8	1.5	7.2	217	19.4348	9	8.9	2.5	9.9
